"CheminUNC";"NomFileShare";"TypeUsage";"CibleM365";"Owner";"EmailOwner";"Description"
"\\ntx-pa-fs01.primagaz.fr\EQUIPE";"EQUIPE";"Collaboratif";"SharePoint";"A_DEFINIR";"a.definir@primagaz.fr";"EQUIPE"
"\\ntx-pa-fs01.primagaz.fr\FICHERENTABILITEPRO";"FICHERENTABILITEPRO";"Collaboratif";"SharePoint";"A_DEFINIR";"a.definir@primagaz.fr";"FICHERENTABILITEPRO"
"\\ntx-pa-fs01.primagaz.fr\FICHERENTABILITEPRORCT";"FICHERENTABILITEPRORCT";"Collaboratif";"SharePoint";"A_DEFINIR";"a.definir@primagaz.fr";"FICHERENTABILITEPRORCT"
"\\ntx-pa-fs01.primagaz.fr\MyfowoClient";"MyfowoClient";"Collaboratif";"SharePoint";"A_DEFINIR";"a.definir@primagaz.fr";"MyfowoClient"
"\\ntx-pa-fs01.primagaz.fr\OUVCPT_OTI";"OUVCPT_OTI";"Collaboratif";"SharePoint";"A_DEFINIR";"a.definir@primagaz.fr";"OUVCPT_OTI"
"\\ntx-pa-fs01.primagaz.fr\PAR";"PAR";"Collaboratif";"SharePoint";"A_DEFINIR";"a.definir@primagaz.fr";"PAR"
"\\ntx-pa-fs01.primagaz.fr\Partage Doc_joints_cntrt_prg";"Partage_Doc_joints_cntrt_prg";"Collaboratif";"SharePoint";"A_DEFINIR";"a.definir@primagaz.fr";"Partage Doc_joints_cntrt_prg"
"\\ntx-pa-fs01.primagaz.fr\PART_GR_SPDC";"PART_GR_SPDC";"Collaboratif";"SharePoint";"A_DEFINIR";"a.definir@primagaz.fr";"PART_GR_SPDC"
"\\ntx-pa-fs01.primagaz.fr\POWERBI";"POWERBI";"Collaboratif";"SharePoint";"A_DEFINIR";"a.definir@primagaz.fr";"POWERBI"
"\\ntx-pa-fs01.primagaz.fr\PRECIA_Archives";"PRECIA_Archives";"Archive";"SharePoint";"A_DEFINIR";"a.definir@primagaz.fr";"PRECIA_Archives"
"\\ntx-pa-fs01.primagaz.fr\PROFILE";"PROFILE";"Personnel";"OneDrive";"A_DEFINIR";"a.definir@primagaz.fr";"PROFILE"
"\\ntx-pa-fs01.primagaz.fr\PROJET";"PROJET";"Collaboratif";"SharePoint";"A_DEFINIR";"a.definir@primagaz.fr";"PROJET"
"\\ntx-pa-fs01.primagaz.fr\Referentiel_Integration_Client";"Referentiel_Integration_Client";"Collaboratif";"SharePoint";"A_DEFINIR";"a.definir@primagaz.fr";"Lié au Projet RPA UIPath"
"\\ntx-pa-fs01.primagaz.fr\RELEVE_OTI";"RELEVE_OTI";"Collaboratif";"SharePoint";"A_DEFINIR";"a.definir@primagaz.fr";"RELEVE_OTI"
"\\ntx-pa-fs01.primagaz.fr\Reporting_CTL";"Reporting_CTL";"Collaboratif";"SharePoint";"A_DEFINIR";"a.definir@primagaz.fr";"Reporting_CTL"
"\\ntx-pa-fs01.primagaz.fr\Reporting_DAF";"Reporting_DAF";"Collaboratif";"SharePoint";"A_DEFINIR";"a.definir@primagaz.fr";"Reporting_DAF"
"\\ntx-pa-fs01.primagaz.fr\SCAN";"SCAN";"Collaboratif";"SharePoint";"A_DEFINIR";"a.definir@primagaz.fr";"SCAN"
"\\ntx-pa-fs01.primagaz.fr\SCAN_GED_OLD";"SCAN_GED_OLD";"Archive";"SharePoint";"A_DEFINIR";"a.definir@primagaz.fr";"SCAN_GED_OLD"
"\\ntx-pa-fs01.primagaz.fr\SERV-CLIENT";"SERV-CLIENT";"Collaboratif";"SharePoint";"A_DEFINIR";"a.definir@primagaz.fr";"SERV-CLIENT"
"\\ntx-pa-fs01.primagaz.fr\SHORTREC";"SHORTREC";"Collaboratif";"SharePoint";"A_DEFINIR";"a.definir@primagaz.fr";"SHORTREC"
"\\ntx-pa-fs01.primagaz.fr\SIGNATURE";"SIGNATURE";"Collaboratif";"SharePoint";"A_DEFINIR";"a.definir@primagaz.fr";"SIGNATURE"
"\\ntx-pa-fs01.primagaz.fr\SITE";"SITE";"Collaboratif";"SharePoint";"A_DEFINIR";"a.definir@primagaz.fr";"SITE"
"\\ntx-pa-fs01.primagaz.fr\SYNTACT_Archives";"SYNTACT_Archives";"Archive";"SharePoint";"A_DEFINIR";"a.definir@primagaz.fr";"SYNTACT_Archives"
\\ntx-pa-fs01.primagaz.fr\smartops;smartops;Collaboratif;SharePoint;A_DEFINIR;a.definir@primagaz.fr;smartops

