CheminUNC;NomFileShare;TypeUsage;CibleM365;Owner;EmailOwner;Description
\\ntx-pa-fs01.primagaz.fr\APPDRC;APPDRC;Collaboratif;SharePoint;A_DEFINIR;a.definir@primagaz.fr;Partage lié à l'ancien par-nas\drc
\\ntx-pa-fs01.primagaz.fr\CALCULATEUR;CALCULATEUR;Collaboratif;SharePoint;A_DEFINIR;a.definir@primagaz.fr;CALCULATEUR
\\ntx-pa-fs01.primagaz.fr\CALOON_DOC;CALOON_DOC;Collaboratif;SharePoint;A_DEFINIR;a.definir@primagaz.fr;CALOON_DOC
\\ntx-pa-fs01.primagaz.fr\CALOON_Facturation;CALOON_Facturation;Collaboratif;SharePoint;A_DEFINIR;a.definir@primagaz.fr;CALOON_Facturation
\\ntx-pa-fs01.primagaz.fr\COMMUN_SPDC;COMMUN_SPDC;Collaboratif;SharePoint;A_DEFINIR;a.definir@primagaz.fr;COMMUN_SPDC
\\ntx-pa-fs01.primagaz.fr\COPROJ;COPROJ;Collaboratif;SharePoint;A_DEFINIR;a.definir@primagaz.fr;COPROJ
\\ntx-pa-fs01.primagaz.fr\CPRM;CPRM;Collaboratif;SharePoint;A_DEFINIR;a.definir@primagaz.fr;CPRM
\\ntx-pa-fs01.primagaz.fr\CpRM_Signatures;CpRM_Signatures;Collaboratif;SharePoint;A_DEFINIR;a.definir@primagaz.fr;CpRM_Signatures
\\ntx-pa-fs01.primagaz.fr\DATALAKE;DATALAKE;Collaboratif;SharePoint;A_DEFINIR;a.definir@primagaz.fr;DATALAKE
\\ntx-pa-fs01.primagaz.fr\DATALAKE_RCT;DATALAKE_RCT;Collaboratif;SharePoint;A_DEFINIR;a.definir@primagaz.fr;DATALAKE_RCT
\\ntx-pa-fs01.primagaz.fr\DEEZEE;DEEZEE;Collaboratif;SharePoint;A_DEFINIR;a.definir@primagaz.fr;DEEZEE
\\ntx-pa-fs01.primagaz.fr\ds_general;ds_general;Collaboratif;SharePoint;A_DEFINIR;a.definir@primagaz.fr;Data Services - partage general
\\ntx-pa-fs01.primagaz.fr\ds_use_cases;ds_use_cases;Collaboratif;SharePoint;A_DEFINIR;a.definir@primagaz.fr;Data Services - partage use_cases
\\ntx-pa-fs01.primagaz.fr\ds_workspaces;ds_workspaces;Collaboratif;SharePoint;A_DEFINIR;a.definir@primagaz.fr;Data Services - partage workspaces
\\ntx-pa-fs01.primagaz.fr\ECONTRACT;ECONTRACT;Collaboratif;SharePoint;A_DEFINIR;a.definir@primagaz.fr;ECONTRACT
\\ntx-pa-fs01.primagaz.fr\EQUIPE;EQUIPE;Collaboratif;SharePoint;A_DEFINIR;a.definir@primagaz.fr;EQUIPE
\\ntx-pa-fs01.primagaz.fr\FICHERENTABILITEPRO;FICHERENTABILITEPRO;Collaboratif;SharePoint;A_DEFINIR;a.definir@primagaz.fr;FICHERENTABILITEPRO
\\ntx-pa-fs01.primagaz.fr\FICHERENTABILITEPRORCT;FICHERENTABILITEPRORCT;Collaboratif;SharePoint;A_DEFINIR;a.definir@primagaz.fr;FICHERENTABILITEPRORCT
\\ntx-pa-fs01.primagaz.fr\MyfowoClient;MyfowoClient;Collaboratif;SharePoint;A_DEFINIR;a.definir@primagaz.fr;MyfowoClient
\\ntx-pa-fs01.primagaz.fr\OUVCPT_OTI;OUVCPT_OTI;Collaboratif;SharePoint;A_DEFINIR;a.definir@primagaz.fr;OUVCPT_OTI
\\ntx-pa-fs01.primagaz.fr\PAR;PAR;Collaboratif;SharePoint;A_DEFINIR;a.definir@primagaz.fr;PAR
\\ntx-pa-fs01.primagaz.fr\Partage Doc_joints_cntrt_prg;Partage_Doc_joints_cntrt_prg;Collaboratif;SharePoint;A_DEFINIR;a.definir@primagaz.fr;Partage Doc_joints_cntrt_prg
\\ntx-pa-fs01.primagaz.fr\PART_GR_SPDC;PART_GR_SPDC;Collaboratif;SharePoint;A_DEFINIR;a.definir@primagaz.fr;PART_GR_SPDC
\\ntx-pa-fs01.primagaz.fr\POWERBI;POWERBI;Collaboratif;SharePoint;A_DEFINIR;a.definir@primagaz.fr;POWERBI
\\ntx-pa-fs01.primagaz.fr\PRECIA_Archives;PRECIA_Archives;Archive;SharePoint;A_DEFINIR;a.definir@primagaz.fr;PRECIA_Archives
\\ntx-pa-fs01.primagaz.fr\PROFILE;PROFILE;Personnel;OneDrive;A_DEFINIR;a.definir@primagaz.fr;PROFILE
\\ntx-pa-fs01.primagaz.fr\PROJET;PROJET;Collaboratif;SharePoint;A_DEFINIR;a.definir@primagaz.fr;PROJET
\\ntx-pa-fs01.primagaz.fr\Referentiel_Integration_Client;Referentiel_Integration_Client;Collaboratif;SharePoint;A_DEFINIR;a.definir@primagaz.fr;Lié au Projet RPA UIPath
\\ntx-pa-fs01.primagaz.fr\RELEVE_OTI;RELEVE_OTI;Collaboratif;SharePoint;A_DEFINIR;a.definir@primagaz.fr;RELEVE_OTI
\\ntx-pa-fs01.primagaz.fr\Reporting_CTL;Reporting_CTL;Collaboratif;SharePoint;A_DEFINIR;a.definir@primagaz.fr;Reporting_CTL
\\ntx-pa-fs01.primagaz.fr\Reporting_DAF;Reporting_DAF;Collaboratif;SharePoint;A_DEFINIR;a.definir@primagaz.fr;Reporting_DAF
\\ntx-pa-fs01.primagaz.fr\SCAN;SCAN;Collaboratif;SharePoint;A_DEFINIR;a.definir@primagaz.fr;SCAN
\\ntx-pa-fs01.primagaz.fr\SCAN_GED_OLD;SCAN_GED_OLD;Archive;SharePoint;A_DEFINIR;a.definir@primagaz.fr;SCAN_GED_OLD
\\ntx-pa-fs01.primagaz.fr\SERV-CLIENT;SERV-CLIENT;Collaboratif;SharePoint;A_DEFINIR;a.definir@primagaz.fr;SERV-CLIENT
\\ntx-pa-fs01.primagaz.fr\SHORTREC;SHORTREC;Collaboratif;SharePoint;A_DEFINIR;a.definir@primagaz.fr;SHORTREC
\\ntx-pa-fs01.primagaz.fr\SIGNATURE;SIGNATURE;Collaboratif;SharePoint;A_DEFINIR;a.definir@primagaz.fr;SIGNATURE
\\ntx-pa-fs01.primagaz.fr\SITE;SITE;Collaboratif;SharePoint;A_DEFINIR;a.definir@primagaz.fr;SITE
\\ntx-pa-fs01.primagaz.fr\SYNTACT_Archives;SYNTACT_Archives;Archive;SharePoint;A_DEFINIR;a.definir@primagaz.fr;SYNTACT_Archives
\\ntx-pa-fs01.primagaz.fr\Test_Migration;Test_Migration;Collaboratif;SharePoint;A_DEFINIR;a.definir@primagaz.fr;Test_Migration
\\ntx-pa-fs01.primagaz.fr\users$;Users_HomeDirs;Personnel;OneDrive;A_DEFINIR;a.definir@primagaz.fr;Home directories utilisateurs (share caché)
